Time (s),Distance - X (cm),Distance - Y (cm),Distance - Total (cm)
0.00,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.30,0.00,0.00,0.00
0.45,0.00,0.00,0.00
0.60,0.00,0.00,0.00
0.75,0.00,0.00,0.00
0.90,0.00,5.00,5.00
1.05,0.00,10.00,10.00
1.20,1.00,16.00,16.08
1.35,4.00,21.00,21.91
1.50,8.00,21.00,25.91
1.65,11.00,25.00,30.91
1.80,14.00,30.00,36.74
1.95,16.00,36.00,43.07
2.10,18.00,42.00,49.39
2.25,23.00,44.00,54.78
2.40,29.00,45.00,60.86
2.55,34.00,47.00,66.25
2.70,39.00,50.00,72.08
2.85,40.00,53.00,75.24
3.00,41.00,60.00,82.31
3.12,43.00,68.00,90.56
3.30,46.00,73.00,96.39
3.42,51.00,74.00,101.49
3.60,58.00,76.00,108.77
3.72,64.00,78.00,115.09
3.90,67.00,83.00,120.92
4.02,68.00,88.00,126.02
4.20,71.00,95.00,133.64
4.32,76.00,99.00,140.04
4.50,82.00,100.00,146.12
4.62,88.00,104.00,153.33
4.77,93.00,108.00,159.74
4.92,93.00,113.00,164.74
5.07,93.00,121.00,172.74
5.22,95.00,128.00,180.02
5.37,100.00,130.00,185.40
5.52,105.00,130.00,190.40
5.67,112.00,132.00,197.68
5.82,117.00,135.00,203.51
5.97,117.00,141.00,209.51
6.12,120.00,148.00,217.13
6.27,123.00,154.00,223.84
6.42,127.00,155.00,227.96
6.57,132.00,157.00,233.35
6.72,138.00,161.00,240.56
6.87,141.00,163.00,244.16
7.02,141.00,170.00,251.16
7.17,142.00,177.00,258.23
7.32,145.00,182.00,264.07
7.47,151.00,183.00,270.15
7.62,157.00,185.00,276.47
7.77,163.00,187.00,282.80
7.92,166.00,192.00,288.63
8.07,168.00,198.00,294.95
8.22,172.00,204.00,302.16
8.37,177.00,208.00,308.57
8.52,181.00,208.00,312.57
8.67,187.00,211.00,319.27
8.82,192.00,215.00,325.68
8.97,193.00,219.00,329.80
9.12,194.00,228.00,338.86
9.27,196.00,236.00,347.10
9.42,199.00,239.00,351.35
9.57,204.00,240.00,356.44
9.72,211.00,243.00,364.06
9.87,216.00,246.00,369.89
10.02,218.00,251.00,375.28
10.17,220.00,257.00,381.60
10.32,225.00,261.00,388.00
10.47,231.00,265.00,395.22
10.62,236.00,267.00,400.60
10.77,239.00,271.00,405.60
10.92,242.00,276.00,411.43
11.07,244.00,283.00,418.71
11.22,247.00,292.00,428.20
11.37,250.00,298.00,434.91
11.52,256.00,299.00,440.99
11.67,263.00,303.00,449.05
11.82,268.00,307.00,455.45
11.97,271.00,311.00,460.45
12.12,272.00,316.00,465.55
12.27,276.00,322.00,472.76
12.42,282.00,326.00,479.98
12.57,287.00,328.00,485.36
12.72,292.00,330.00,490.75
12.87,296.00,335.00,497.15
13.02,297.00,341.00,503.23
13.17,299.00,350.00,512.45
13.32,300.00,357.00,519.52
13.47,304.00,360.00,524.52
13.62,308.00,363.00,529.52
13.77,315.00,367.00,537.58
13.92,320.00,369.00,542.97
14.07,321.00,373.00,547.09
14.22,322.00,378.00,552.19
14.37,326.00,384.00,559.40
14.52,332.00,387.00,566.11
14.67,337.00,387.00,571.11
14.82,341.00,391.00,576.77
14.97,342.00,396.00,581.87
15.12,344.00,403.00,589.15
15.27,347.00,411.00,597.69
15.42,350.00,416.00,603.52
15.57,357.00,416.00,610.52
15.72,362.00,419.00,616.35
15.87,368.00,422.00,623.06
16.02,372.00,427.00,629.46
16.17,374.00,433.00,635.79
16.29,378.00,437.00,641.45
16.47,385.00,440.00,649.06
16.62,391.00,441.00,655.14
16.77,397.00,445.00,662.36
16.92,400.00,449.00,667.36
17.07,400.00,455.00,673.36
17.22,401.00,463.00,681.42
17.37,404.00,470.00,689.03
17.52,407.00,474.00,694.03
17.67,413.00,475.00,700.12
17.82,420.00,476.00,707.19
17.97,425.00,479.00,713.02
18.12,426.00,484.00,718.12
18.27,428.00,490.00,724.44
18.42,431.00,495.00,730.27
18.57,436.00,498.00,736.10
18.72,442.00,499.00,742.19
18.87,446.00,503.00,747.84
19.02,449.00,508.00,753.67
19.17,450.00,515.00,760.75
19.32,452.00,523.00,768.99
19.47,456.00,527.00,774.65
19.62,461.00,527.00,779.65
19.77,467.00,530.00,786.36
19.92,473.00,533.00,793.07
20.07,476.00,538.00,798.90
20.22,478.00,544.00,805.22
20.37,482.00,549.00,811.62
20.52,488.00,553.00,818.83
20.67,494.00,554.00,824.92
20.82,499.00,558.00,831.32
20.97,503.00,563.00,837.72
21.12,504.00,567.00,841.85
21.27,505.00,570.00,845.01
21.42,507.00,573.00,848.61
21.57,508.00,576.00,851.78
21.72,509.00,579.00,854.94
21.87,511.00,579.00,856.94
22.02,511.00,579.00,856.94
22.17,513.00,580.00,859.18
22.32,515.00,580.00,861.18
22.47,516.00,581.00,862.59
22.62,518.00,582.00,864.83
22.77,519.00,583.00,866.24
22.92,521.00,583.00,868.24
23.07,522.00,585.00,870.48
23.22,522.00,585.00,870.48
23.37,524.00,586.00,872.71
23.52,525.00,587.00,874.13
23.67,526.00,588.00,875.54
23.82,528.00,588.00,877.54
23.97,528.00,589.00,878.54
24.12,530.00,590.00,880.78
24.27,531.00,591.00,882.19
24.42,532.00,592.00,883.60
24.57,534.00,593.00,885.84
24.72,534.00,593.00,885.84
24.87,536.00,594.00,888.08
25.02,537.00,595.00,889.49
25.17,537.00,595.00,889.49
25.32,539.00,596.00,891.73
25.47,539.00,597.00,892.73
25.62,540.00,597.00,893.73
25.77,542.00,597.00,895.73
25.92,543.00,597.00,896.73
26.07,545.00,597.00,898.73
26.22,545.00,598.00,899.73
26.37,546.00,598.00,900.73
26.52,548.00,598.00,902.73
26.67,549.00,598.00,903.73
26.82,550.00,598.00,904.73
26.97,551.00,599.00,906.14
27.12,552.00,599.00,907.14
27.27,554.00,599.00,909.14
27.42,554.00,599.00,909.14
27.57,556.00,600.00,911.38
27.72,557.00,600.00,912.38
27.87,558.00,601.00,913.79
28.02,560.00,602.00,916.03
28.17,560.00,602.00,916.03
28.32,562.00,603.00,918.26
28.47,563.00,603.00,919.26
28.62,564.00,603.00,920.26
28.77,566.00,604.00,922.50
28.92,566.00,604.00,922.50
