Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
0.00,0.0,0.0,0.0
0.15,0.1,0.1,0.0
0.30,0.0,0.1,0.0
0.45,0.0,0.0,0.0
0.60,0.0,0.0,0.0
0.75,-224.9,-21.6,-85.6
0.90,-223.1,-9.6,-206.0
1.05,55.0,167.2,-118.0
1.20,143.2,299.5,-189.8
1.35,242.0,161.2,-99.3
1.50,5.2,-140.6,-281.7
1.65,81.4,-96.3,-201.5
1.80,-119.0,120.5,-208.1
1.95,196.5,140.9,-69.6
2.10,75.7,-29.9,-247.4
2.25,39.2,-46.7,-122.2
2.40,-55.4,-16.0,-249.7
2.55,137.5,116.6,-85.9
2.70,55.8,52.5,-258.4
2.85,204.5,-68.3,72.5
3.00,-22.8,-255.0,195.9
3.12,37.4,-223.0,124.5
3.30,162.5,78.0,283.7
3.42,62.0,48.7,142.4
3.60,-89.1,-190.1,212.8
3.72,113.0,-122.2,92.3
3.90,109.9,73.7,259.9
4.02,13.8,-33.3,126.8
4.20,76.2,-113.3,245.0
4.32,165.7,-28.3,99.1
4.50,100.7,41.0,169.0
4.62,48.3,-138.8,118.6
4.77,106.0,-148.3,181.8
4.92,-23.3,248.3,-60.5
5.07,4.4,325.1,-133.8
5.22,175.5,104.4,-64.5
5.37,30.3,-204.0,-258.9
5.52,176.1,110.6,-131.7
5.67,-8.1,167.1,-260.0
5.82,170.3,-49.4,-42.2
5.97,25.8,-148.6,-254.5
6.12,44.9,228.6,-75.1
6.27,166.7,115.9,-66.7
6.42,155.1,-183.2,-71.4
6.57,-69.5,29.5,-194.0
6.72,107.1,180.8,-73.9
6.87,103.4,-91.8,41.0
7.02,-175.0,-294.1,86.4
7.17,-55.8,-182.1,275.8
7.32,190.6,-1.5,48.0
7.47,26.9,112.8,266.7
7.62,80.1,-168.1,71.3
7.77,97.2,-110.0,244.1
7.92,242.4,83.0,89.3
8.07,-10.1,54.4,233.5
8.22,81.4,-210.8,78.8
8.37,76.7,-2.2,252.3
8.52,85.4,93.3,110.2
8.67,-24.4,-37.8,234.8
8.82,155.2,-140.7,69.7
8.97,-13.3,131.2,-158.5
9.12,-28.0,400.8,-118.9
9.27,69.2,143.9,-253.8
9.42,217.5,-122.5,-37.8
9.57,5.7,-126.6,-242.9
9.72,65.2,218.2,-63.1
9.87,147.4,150.6,-125.9
10.02,247.1,-43.5,-56.0
10.17,50.6,-56.8,-241.8
10.32,165.0,169.4,-59.5
10.47,106.9,88.1,-207.5
10.62,52.7,-70.1,-73.2
10.77,-36.2,-9.4,-248.4
10.92,114.5,64.9,-17.4
11.07,-70.6,-238.1,138.7
11.22,34.2,-276.4,154.2
11.37,105.6,13.2,233.3
11.52,306.1,145.3,95.0
11.67,-35.2,-88.3,233.6
11.82,166.8,-133.2,46.9
11.97,144.3,12.6,177.9
12.12,126.4,34.9,124.7
12.27,-107.1,-116.6,192.3
12.42,66.9,-117.1,80.5
12.57,157.9,-59.9,198.0
12.72,108.7,-47.9,58.7
12.87,47.0,-58.1,214.9
13.02,-163.1,169.5,-39.7
13.17,-197.5,399.7,-158.2
13.32,260.9,124.8,8.0
13.47,245.4,-212.7,-165.9
13.62,112.5,-96.1,-188.0
13.77,-12.1,306.9,-117.7
13.92,289.1,84.4,27.6
14.07,137.5,-75.1,-253.7
14.22,87.0,6.3,-70.9
14.37,15.8,104.1,-225.5
14.52,130.2,161.8,-57.4
14.67,65.3,18.2,-262.1
14.82,158.7,-74.8,-85.6
14.97,184.5,41.3,174.7
15.12,-172.3,-224.7,127.1
15.27,-96.3,-241.6,206.8
15.42,268.3,63.3,1.8
15.57,77.6,104.0,252.8
15.72,51.3,-153.2,50.7
15.87,90.9,-139.1,202.5
16.02,179.3,-4.3,37.7
16.17,162.7,9.3,208.1
16.29,85.5,-47.4,81.7
16.47,-60.3,-52.1,227.2
16.62,163.1,-42.2,52.7
16.77,86.6,-105.0,218.5
16.92,132.3,-1.1,41.5
17.07,53.5,98.5,-241.9
17.22,-44.4,310.0,-73.1
17.37,-42.3,146.3,-231.7
17.52,219.7,-178.4,-66.9
17.67,-15.9,54.4,-223.1
17.82,34.7,163.3,-47.4
17.97,117.1,70.3,-187.1
18.12,203.2,-79.5,-50.6
18.27,75.9,132.4,-221.9
18.42,231.4,87.6,-16.3
18.57,121.2,-21.4,-199.5
18.72,157.6,52.7,-31.8
18.87,50.8,46.3,-216.6
19.02,50.1,25.8,-12.7
19.17,-97.1,-273.5,207.0
19.32,2.5,-267.7,133.5
19.47,172.9,54.0,249.1
19.62,155.8,140.4,116.9
19.77,-125.2,-150.4,193.9
19.92,167.1,-152.7,41.9
