Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.15,0.00,0.00
0.30,0.00,0.00
0.45,0.00,0.00
0.60,0.00,0.00
0.75,0.00,0.00
0.90,0.00,5.00
1.05,0.00,10.00
1.20,1.00,16.00
1.35,4.00,21.00
1.50,8.00,21.00
1.65,11.00,17.00
1.80,14.00,12.00
1.95,16.00,6.00
2.10,14.00,0.00
2.25,9.00,-2.00
2.40,3.00,-3.00
2.55,-2.00,-1.00
2.70,-7.00,2.00
2.85,-8.00,5.00
3.00,-9.00,12.00
3.12,-11.00,20.00
3.30,-14.00,25.00
3.42,-19.00,26.00
3.60,-26.00,24.00
3.72,-32.00,22.00
3.90,-35.00,17.00
4.02,-34.00,12.00
4.20,-31.00,5.00
4.32,-26.00,1.00
4.50,-20.00,2.00
4.62,-14.00,6.00
4.77,-9.00,10.00
4.92,-9.00,15.00
5.07,-9.00,23.00
5.22,-7.00,30.00
5.37,-2.00,32.00
5.52,3.00,32.00
5.67,10.00,30.00
5.82,15.00,27.00
5.97,15.00,21.00
6.12,12.00,14.00
6.27,9.00,8.00
6.42,5.00,7.00
6.57,0.00,9.00
6.72,-6.00,13.00
6.87,-9.00,15.00
7.02,-9.00,22.00
7.17,-10.00,29.00
7.32,-13.00,34.00
7.47,-19.00,35.00
7.62,-25.00,33.00
7.77,-31.00,31.00
7.92,-34.00,26.00
8.07,-32.00,20.00
8.22,-28.00,14.00
8.37,-23.00,10.00
8.52,-19.00,10.00
8.67,-13.00,13.00
8.82,-8.00,17.00
8.97,-7.00,21.00
9.12,-6.00,30.00
9.27,-4.00,38.00
9.42,-1.00,41.00
9.57,4.00,40.00
9.72,11.00,37.00
9.87,16.00,34.00
10.02,18.00,29.00
10.17,16.00,23.00
10.32,11.00,19.00
10.47,5.00,15.00
10.62,0.00,17.00
10.77,-3.00,21.00
10.92,-6.00,26.00
11.07,-8.00,33.00
11.22,-11.00,42.00
11.37,-14.00,48.00
11.52,-20.00,49.00
11.67,-27.00,45.00
11.82,-32.00,41.00
11.97,-35.00,37.00
12.12,-34.00,32.00
12.27,-30.00,26.00
12.42,-24.00,22.00
12.57,-19.00,20.00
12.72,-14.00,22.00
12.87,-10.00,27.00
13.02,-9.00,33.00
13.17,-7.00,42.00
13.32,-6.00,49.00
13.47,-2.00,52.00
13.62,2.00,49.00
13.77,9.00,45.00
13.92,14.00,43.00
14.07,15.00,39.00
14.22,14.00,34.00
14.37,10.00,28.00
14.52,4.00,25.00
14.67,-1.00,25.00
14.82,-5.00,29.00
14.97,-6.00,34.00
15.12,-8.00,41.00
15.27,-11.00,49.00
15.42,-14.00,54.00
15.57,-21.00,54.00
15.72,-26.00,51.00
15.87,-32.00,48.00
16.02,-36.00,43.00
16.17,-34.00,37.00
16.29,-30.00,33.00
16.47,-23.00,30.00
16.62,-17.00,29.00
16.77,-11.00,33.00
16.92,-8.00,37.00
17.07,-8.00,43.00
17.22,-7.00,51.00
17.37,-4.00,58.00
17.52,-1.00,62.00
17.67,5.00,61.00
17.82,12.00,60.00
17.97,17.00,57.00
18.12,18.00,52.00
18.27,16.00,46.00
18.42,13.00,41.00
18.57,8.00,38.00
18.72,2.00,39.00
18.87,-2.00,43.00
19.02,-5.00,48.00
19.17,-6.00,55.00
19.32,-8.00,63.00
19.47,-12.00,67.00
19.62,-17.00,67.00
19.77,-23.00,64.00
19.92,-29.00,61.00
20.07,-32.00,56.00
20.22,-30.00,50.00
20.37,-26.00,45.00
20.52,-20.00,41.00
20.67,-14.00,40.00
20.82,-9.00,44.00
20.97,-5.00,49.00
21.12,-4.00,53.00
21.27,-5.00,56.00
21.42,-7.00,59.00
21.57,-8.00,62.00
21.72,-7.00,65.00
21.87,-5.00,65.00
22.02,-5.00,65.00
22.17,-7.00,64.00
22.32,-9.00,64.00
22.47,-8.00,63.00
22.62,-6.00,64.00
22.77,-5.00,63.00
22.92,-7.00,63.00
23.07,-8.00,61.00
23.22,-8.00,61.00
23.37,-6.00,62.00
23.52,-5.00,61.00
23.67,-6.00,60.00
23.82,-8.00,60.00
23.97,-8.00,59.00
24.12,-6.00,60.00
24.27,-5.00,61.00
24.42,-6.00,60.00
24.57,-8.00,59.00
24.72,-8.00,59.00
24.87,-6.00,58.00
25.02,-5.00,57.00
25.17,-5.00,57.00
25.32,-7.00,56.00
25.47,-7.00,55.00
25.62,-6.00,55.00
25.77,-4.00,55.00
25.92,-5.00,55.00
26.07,-7.00,55.00
26.22,-7.00,54.00
26.37,-6.00,54.00
26.52,-4.00,54.00
26.67,-5.00,54.00
26.82,-6.00,54.00
26.97,-7.00,53.00
27.12,-6.00,53.00
27.27,-4.00,53.00
27.42,-4.00,53.00
27.57,-6.00,52.00
27.72,-7.00,52.00
27.87,-6.00,51.00
28.02,-4.00,52.00
28.17,-4.00,52.00
28.32,-6.00,51.00
28.47,-7.00,51.00
28.62,-6.00,51.00
28.77,-4.00,52.00
28.92,-4.00,52.00
